player_id,player_name,total_pitches,swings,hits,pulled_fb%,ba,iso,babip,slg,xwoba,launch_speed,launch_angle,spin_rate,velocity,effective_speed
665828,Oswaldo Cabrera,1221,20,6,1.6,0.3,0.65,0.125,0.95,0.251,89.6,35.8,2224,87.2,87.23
500871,Eduardo Escobar,1236,20,8,1.6,0.4,0.9,0.2,1.3,0.4,94.2,38.1,2158,89.8,90.24
608369,Corey Seager,1846,30,20,1.6,0.667,1.867,0.167,2.533,0.893,99,33.2,2273,86.7,86.68
669357,Nolan Gorman,1889,31,20,1.6,0.667,1.767,0.214,2.433,1.069,99.8,33.9,2327,87,87.19
664238,Dylan Moore,682,11,8,1.6,0.727,1.545,0.5,2.273,0.895,97.9,33,2239,87.2,87.08
687799,Cade Marlowe,431,7,1,1.6,0.143,0.429,0,0.571,0.167,90.8,38.7,2391,87.1,87.23
672695,Geraldo Perdomo,2064,32,6,1.6,0.194,0.452,0.071,0.645,0.193,89.4,38.2,2267,90.5,90.74
543939,Kolten Wong,984,16,5,1.6,0.333,0.8,0.083,1.133,0.339,88.6,36.6,2237,84.8,84.85
571657,Kyle Farmer,1398,22,12,1.6,0.545,1.409,0.167,1.955,0.794,94.8,33.6,2210,83.8,83.96
641856,Billy McKinney,611,10,7,1.6,0.7,1.8,0.25,2.5,1.01,96.1,34.6,2188,90.6,90.93
543257,Robbie Grossman,1716,28,14,1.6,0.538,1.308,0.222,1.846,0.517,96.4,34.9,2348,87,87.25
669222,Nick Senzel,1189,19,11,1.6,0.579,1.421,0.2,2,0.53,93.8,38.8,2361,87.3,87.33
666624,Christopher Morel,1655,27,15,1.6,0.577,1.538,0.143,2.115,0.879,97.3,36.5,2195,85.6,85.65
669257,Will Smith,2292,36,14,1.6,0.4,1.086,0.083,1.486,0.441,91.7,36.2,2186,84.4,84.54
572233,Christian Walker,2671,42,22,1.6,0.537,1.195,0.259,1.732,0.586,90.9,37.5,2300,87.2,87.46
673357,Luis Robert Jr.,2200,36,23,1.6,0.657,1.629,0.278,2.286,0.943,97.7,32.9,2266,86.3,86.69
642715,Willy Adames,2596,41,18,1.6,0.45,0.95,0.233,1.4,0.668,93.8,33.9,2298,88.9,89.24
668904,Royce Lewis,906,14,7,1.5,0.5,1.5,0,2,0.58,95.8,38.5,2403,87.4,87.71
600301,Taylor Motter,324,5,1,1.5,0.2,0,0.2,0.2,0.227,85.2,46.6,2334,88.7,88.62
543068,C.J. Cron,1068,16,9,1.5,0.563,1.25,0.3,1.813,0.623,94.9,35.9,2262,87.4,87.87
600869,Jeimer Candelario,2333,35,16,1.5,0.485,1.242,0.136,1.727,0.597,96.1,34.1,2365,87.9,88.14
649966,Luis Urías,741,11,4,1.5,0.364,0.727,0.222,1.091,0.545,92.1,37.8,2259,88.8,89.19
665839,Enmanuel Valdez,610,9,5,1.5,0.556,1.444,0.2,2,0.995,96.8,29.6,2413,85.4,85.45
682848,Endy Rodríguez,776,12,3,1.5,0.273,0.455,0.182,0.727,0.392,95.5,36.4,2291,89.8,90.08
519203,Anthony Rizzo,1670,25,13,1.5,0.52,1.36,0.143,1.88,0.546,94.7,35.1,2264,89.7,89.94
521692,Salvador Perez,2061,31,15,1.5,0.5,1.133,0.2,1.633,0.637,94.6,34.3,2305,87.1,87.58
691406,Junior Caminero,134,2,0,1.5,0,0,0,0,0.023,85.8,40,2494,82.7,82
621566,Matt Olson,3092,46,26,1.5,0.578,1.667,0.091,2.244,0.845,100.3,36.1,2281,87.9,88.21
656024,Carlos Pérez,197,3,2,1.5,0.667,1.333,0.5,2,0.743,95.7,37,2269,89.7,89.8
666176,Jo Adell,261,4,2,1.5,0.5,1.5,0,2,0.62,101,37.5,2296,87.7,87.33
663897,Luke Williams,67,1,0,1.5,0,0,0,0,0.007,85.1,39,1460,52.2,50.5
602074,Yonathan Daza,275,4,0,1.5,0,0,0,0,0.436,87.9,31.8,2181,88,87.35
594777,Kole Calhoun,681,10,6,1.5,0.667,1.778,0.2,2.444,0.656,96.7,32.7,2241,92.1,92.63
687952,Christian Encarnacion-Strand,936,14,9,1.5,0.643,1.929,0,2.571,0.982,100.1,34.6,2228,84.8,85.19
670097,Zack Short,1027,15,8,1.5,0.533,1.4,0.125,1.933,0.703,92.4,33.6,2383,86.6,86.93
467793,Carlos Santana,2463,36,21,1.5,0.583,1.611,0.118,2.194,0.804,97.3,31.3,2323,87.8,88.08
592178,Kris Bryant,1281,19,9,1.5,0.474,1.211,0.167,1.684,0.581,95.7,36.5,2318,86.9,87.39
683011,Anthony Volpe,2335,34,16,1.5,0.471,1.088,0.217,1.559,0.698,95.5,32.1,2246,88.2,88.55
673490,Ha-Seong Kim,2727,40,17,1.5,0.447,1.132,0.148,1.579,0.465,91.4,35.4,2250,89.1,89.25
572816,Corey Dickerson,546,8,3,1.5,0.375,1,0.167,1.375,0.4,89.4,39.4,2475,90.4,90.83
621035,Chris Taylor,1622,24,10,1.5,0.417,1.042,0.125,1.458,0.788,96.7,35.3,2219,90.1,90.33
666969,Adolis García,2562,39,20,1.5,0.513,1.333,0.136,1.846,0.871,99.2,33.9,2313,86.6,86.71
595879,Javier Báez,1970,29,10,1.5,0.357,0.714,0.174,1.071,0.446,91.1,36.7,2292,84.2,84.59
607208,Trea Turner,2675,40,23,1.5,0.59,1.59,0.15,2.179,0.734,96.5,34.3,2158,87.6,87.79
664040,Brandon Lowe,1718,26,14,1.5,0.538,1.462,0.143,2,0.733,98.2,35.7,2289,86,86.16
691783,Jordan Lawlar,134,2,0,1.5,0,0,0,0,0.28,77.3,35,2262,93.1,92.65
474832,Brandon Belt,1801,27,15,1.5,0.556,1.259,0.294,1.815,0.727,98.3,35.5,2215,90.2,90.49
656811,Ryan O'Hearn,1451,22,13,1.5,0.591,1.455,0.25,2.045,0.731,96.5,33,2318,87,87.14
624585,Jorge Soler,2315,35,19,1.5,0.543,1.343,0.2,1.886,0.775,95.6,34.3,2255,88.3,88.36
666310,Bo Naylor,1011,15,7,1.5,0.5,1.5,0,2,0.672,93.6,34.7,2215,84.7,84.68
660707,Elehuris Montero,1165,18,7,1.5,0.412,1.118,0.083,1.529,0.34,89.9,37.8,2342,84,84.52
681481,Kerry Carpenter,1761,27,15,1.5,0.556,1.37,0.25,1.926,0.795,98.1,34.1,2126,87.8,88.2
598265,Jackie Bradley Jr.,408,6,0,1.5,0,0,0,0,0.208,90.4,43.2,2477,88.2,89
545341,Randal Grichuk,1721,26,14,1.5,0.538,1.385,0.143,1.923,0.661,93.1,38.2,2273,88.1,88.6
518792,Jason Heyward,1439,21,8,1.5,0.4,0.95,0.133,1.35,0.329,91.2,37.2,2085,90,90.61
669720,Austin Hays,2122,31,16,1.5,0.533,1.1,0.318,1.633,0.666,94.2,35.2,2197,87.7,88.15
650859,Luis Rengifo,1676,23,10,1.4,0.435,1.304,0,1.739,0.689,96.5,36.9,2327,87.8,87.55
669242,Tommy Edman,1809,26,13,1.4,0.52,1.28,0.188,1.8,0.652,92.7,33.6,2241,86.6,86.74
606466,Ketel Marte,2483,35,15,1.4,0.429,1.2,0.048,1.629,0.525,93.4,35.8,2195,87.4,87.89
668715,Spencer Steer,2684,37,17,1.4,0.472,1.361,0.048,1.833,0.679,97,33.5,2279,87.7,88.13
595777,Jurickson Profar,2104,30,9,1.4,0.3,0.667,0.125,0.967,0.287,90.1,39.6,2178,87.3,87.92
