player_id,player_name,total_pitches,swings,hits,straightaway_fb%,ba,iso,babip,slg,xwoba,launch_speed,launch_angle,spin_rate,velocity,effective_speed
668942,Josh Rojas,1350,22,0,1.6,0.000,0.000,0.000,0.000,0.156,87.3,36.9,2292,88.2,88.42
656941,Kyle Schwarber,3068,50,14,1.6,0.286,0.796,0.053,1.082,0.764,98.4,37.5,2255,89.8,89.97
664761,Alec Bohm,2252,35,6,1.6,0.176,0.294,0.094,0.471,0.346,88.2,38.9,2264,87.9,88.01
665828,Oswaldo Cabrera,1221,20,0,1.6,0.000,0.000,0.000,0.000,0.282,92.7,36.1,2263,90.2,90.47
666165,Blake Sabol,1360,22,7,1.6,0.333,0.905,0.063,1.238,0.751,98.7,35.4,2296,91,91.39
620443,Luis Torrens,126,2,0,1.6,0.000,0.000,0.000,0.000,0.037,86.7,48.5,2207,94.2,94.7
456781,Donovan Solano,1806,29,6,1.6,0.207,0.207,0.179,0.414,0.413,91.4,36.6,2143,87.6,87.79
545350,Jake Marisnick,321,5,1,1.6,0.200,0.200,0.200,0.400,0.35,92.2,36.6,2262,91.2,90.8
676701,Alan Trejo,875,14,4,1.6,0.308,0.385,0.231,0.692,0.417,91.9,32.9,2208,86,86.78
500743,Miguel Rojas,1455,24,1,1.6,0.045,0.000,0.042,0.045,0.235,91.1,34.4,2349,88,87.91
542303,Marcell Ozuna,2366,39,11,1.6,0.289,0.684,0.097,0.974,0.813,99.9,37.1,2209,89.2,89.54
650489,Willi Castro,1586,26,8,1.6,0.320,0.520,0.182,0.840,0.529,89.8,34.3,2127,86.8,87.04
678662,Ezequiel Tovar,2290,36,11,1.6,0.314,0.343,0.265,0.657,0.456,91.7,35.9,2308,84.9,85.21
679845,Nick Loftin,250,4,0,1.6,0.000,0.000,0.000,0.000,0.439,89.4,38,2143,92,91.67
656403,Drew Ellis,128,2,1,1.6,0.500,1.500,0.000,2.000,0.716,89.3,30.5,2339,94.4,94.2
605119,Brian Anderson,1441,23,9,1.6,0.429,0.810,0.222,1.238,0.817,92.2,31.4,2268,88.7,88.98
683011,Anthony Volpe,2335,34,5,1.5,0.156,0.344,0.094,0.500,0.428,92.7,35.9,2333,89.2,89.43
686452,Drew Millas,134,2,1,1.5,0.500,0.500,0.500,1.000,0.595,97.7,26.5,2196,91,92.1
676914,Davis Schneider,583,9,1,1.5,0.111,0.111,0.111,0.222,0.29,93.9,37,2105,87.4,87.24
623912,Harold Ramírez,1564,23,9,1.5,0.450,0.550,0.300,1.000,0.761,92.2,32.6,2244,87.1,86.98
664059,Sam Haggerty,413,6,1,1.5,0.167,0.000,0.167,0.167,0.323,80.4,39.7,2031,88.4,88.2
676475,Alec Burleson,1238,19,3,1.5,0.158,0.263,0.111,0.421,0.448,95.7,35.7,2374,89.8,89.78
642136,Matt Thaiss,1241,19,4,1.5,0.235,0.706,0.000,0.941,0.732,96.6,33.5,2247,92.1,92.24
683002,Gunnar Henderson,2405,36,7,1.5,0.200,0.600,0.000,0.800,0.567,94.1,34.8,2271,86.1,86.24
500871,Eduardo Escobar,1236,18,3,1.5,0.176,0.118,0.167,0.294,0.258,88.6,34.7,2105,88.9,89.32
519317,Giancarlo Stanton,1719,26,5,1.5,0.192,0.462,0.045,0.654,0.632,96.6,36.4,2431,90.3,90.34
665926,Andrés Giménez,2346,36,3,1.5,0.086,0.086,0.057,0.171,0.251,89.3,34.6,2309,88.5,88.84
602104,Ramón Urías,1461,22,5,1.5,0.227,0.409,0.150,0.636,0.404,93.6,35.5,2224,88.8,89.23
691783,Jordan Lawlar,134,2,0,1.5,0.000,0.000,0.000,0.000,0.286,83.1,42.5,2637,86.8,86.35
592626,Joc Pederson,1723,25,3,1.5,0.120,0.360,0.000,0.480,0.684,97.4,37.2,2179,89.3,89.78
542932,Jon Berti,1588,24,6,1.5,0.250,0.500,0.100,0.750,0.561,93.4,34.4,2175,87.2,87.42
689172,Brett Wisely,531,8,1,1.5,0.125,0.375,0.000,0.500,0.522,97.7,36.8,2152,85.4,85.96
501659,Abraham Almonte,68,1,0,1.5,0.000,0.000,0.000,0.000,0.008,90.3,50,2779,80.3,81.1
641856,Billy McKinney,611,9,1,1.5,0.125,0.125,0.111,0.250,0.763,95.3,30.9,2294,89.5,90.41
664023,Ian Happ,2862,42,8,1.5,0.195,0.439,0.056,0.634,0.447,94.2,37.4,2195,87.6,88.07
682998,Corbin Carroll,2431,37,11,1.5,0.306,0.611,0.188,0.917,0.572,92.5,34,2285,87.1,87.28
673490,Ha-Seong Kim,2727,42,6,1.5,0.146,0.195,0.100,0.341,0.307,90.5,36.6,2218,88.8,89.1
693049,Oscar Colás,934,14,2,1.5,0.143,0.214,0.077,0.357,0.337,90,37.1,2246,87,87.52
675961,Alika Williams,458,7,0,1.5,0.000,0.000,0.000,0.000,0.215,91.8,38.4,2426,88.9,89.23
669127,Shea Langeliers,1921,29,6,1.5,0.207,0.483,0.080,0.690,0.631,94.9,36.3,2206,89,89.08
622534,Manuel Margot,1225,18,1,1.5,0.063,0.000,0.056,0.063,0.472,93.8,35,2252,89.9,89.89
678009,Parker Meadows,594,9,0,1.5,0.000,0.000,0.000,0.000,0.475,90.5,35.6,2301,89.7,90.09
670623,Isaac Paredes,2366,36,3,1.5,0.083,0.028,0.083,0.111,0.248,90.4,37.7,2242,90.2,90.23
