Name,player_id,Age,Team,Season,Cluster,PA,wRC+,xwOBA,OFF,xBA,K%,BB%,P/PA,SwStr%,50th_max_velo,Brls/BBE%,HardHit%,HR/FB%,Spd,BsR,GB%,LD%,FB%,IFH%,Pull%,Oppo%,Swing%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,LA,HR,SB,Meatball_Swing%,F_Strike%,Solid_Contact%
Masataka Yoshida,807799,29,BOS,2023,10,580,109,0.325,4.7,0.273,14.0,5.9,3.79,7.3,100.1,6.6,40.6,12.2,4.9,-1.9,54.6,18.6,26.9,8.8,36.5,28.4,43.3,29.3,73.4,59.9,88.7,3.9,15,8,68.6,59.5,3.9
Mark Canha,592192,34,- - -,2023,1,507,111,0.323,7.9,0.248,15.6,9.7,4.11,7.1,99.0,4.7,36.7,7.6,4.4,1.0,44.5,15.7,39.8,5.0,43.9,21.3,41.5,26.7,71.5,61.1,89.5,13.1,11,11,69.4,64.6,6.6
Pete Alonso,624413,28,NYM,2023,9,658,121,0.368,16.8,0.246,22.9,9.9,3.9,10.3,102.3,14.7,39.9,22.9,3.8,-0.6,36.6,15.7,47.7,4.5,44.4,23.0,43.7,30.2,64.7,64.1,84.6,18.2,46,4,67.2,58.8,6.4
Brent Rooker Jr.,667670,28,OAK,2023,3,526,127,0.343,16.3,0.237,32.7,9.3,4.09,16.2,102.7,15.6,49.5,21.6,3.3,-0.7,33.6,19.3,47.1,6.1,34.2,24.8,46.1,32.0,44.9,66.4,78.6,17.6,30,4,73.1,59.7,7.1
Thairo Estrada,642731,27,SFG,2023,2,530,101,0.292,2.5,0.248,22.6,4.2,3.63,10.4,97.9,4.8,33.7,10.9,5.7,1.9,44.1,21.1,34.9,5.5,47.8,22.0,51.1,40.0,65.7,67.8,92.1,10.8,14,23,73.4,65.8,3.7
Ke'Bryan Hayes,663647,26,PIT,2023,10,525,101,0.324,0.6,0.273,19.8,5.3,3.67,8.6,101.7,7.4,48.4,9.8,5.7,-0.1,41.8,19.1,39.0,7.3,31.0,31.6,45.5,33.3,65.6,62.7,92.5,13.2,15,10,73.3,61.5,9.9
Bo Bichette,666182,25,TOR,2023,2,601,125,0.363,16.3,0.312,19.1,4.5,3.7,10.3,101.7,9.6,44.9,16.5,3.6,-1.4,46.1,27.4,26.5,10.0,27.0,40.6,56.6,40.8,69.4,78.4,90.7,6.1,20,5,85.6,62.9,6.1
Zach McKinstry,656716,28,DET,2023,10,518,81,0.312,-10.7,0.247,21.8,8.5,4.08,8.5,97.7,7.6,33.2,5.9,6.0,1.1,35.1,21.8,43.1,6.5,35.4,27.0,47.0,30.6,66.9,69.1,90.9,17.8,9,16,75.5,57.5,5.9
Matt Vierling,663837,26,DET,2023,10,530,99,0.322,-1.0,0.266,21.1,8.3,4.02,7.2,100.6,4.6,42.0,8.8,4.7,-0.2,48.5,20.7,30.8,5.6,33.9,32.8,44.2,30.6,73.4,61.3,90.1,9.1,10,6,72.0,64.3,5.1
Enrique Hernández,571771,31,- - -,2023,10,508,72,0.272,-17.9,0.224,19.1,6.7,3.87,10.2,97.8,4.6,33.4,6.7,3.3,-1.0,37.4,19.0,43.6,3.6,36.6,25.9,46.7,30.7,63.2,68.6,87.2,17.0,11,4,79.9,61.6,5.1
Lane Thomas,657041,27,WSN,2023,6,682,109,0.319,9.0,0.255,25.8,5.3,3.85,9.0,100.2,9.6,40.5,16.4,6.0,1.7,44.0,18.7,37.3,9.4,51.2,19.2,43.6,30.6,64.4,62.1,89.8,10.8,28,20,74.6,60.4,6.5
Myles Straw,664702,28,CLE,2023,5,518,69,0.272,-15.8,0.239,18.7,8.1,3.84,5.1,95.1,0.5,23.1,0.9,5.9,3.3,47.3,22.1,30.6,8.7,24.7,35.3,43.8,27.1,82.2,62.0,91.4,9.4,1,20,75.1,62.9,2.4
Juan Soto,665742,24,SDP,2023,1,708,155,0.408,47.4,0.284,18.2,18.6,4.09,6.3,104.5,13.0,55.3,24.5,3.5,-0.9,51.0,16.6,32.4,5.8,38.9,20.7,35.7,20.0,67.6,60.2,89.9,6.7,35,12,73.8,55.5,7.6
Jorge Soler,624585,31,MIA,2023,9,580,126,0.374,16.2,0.262,24.3,11.4,3.99,11.0,103.1,15.0,48.0,21.2,1.8,-2.9,35.7,18.0,46.3,3.8,46.3,18.5,44.2,29.2,60.1,68.7,85.4,17.8,36,1,79.6,56.7,10.4
Javier Báez,595879,30,DET,2023,2,547,61,0.279,-23.0,0.234,22.9,4.4,3.6,16.7,100.2,5.1,38.8,7.3,6.5,2.3,49.9,18.1,32.0,7.3,40.2,23.7,54.7,46.0,58.2,69.3,82.0,9.3,9,12,65.0,63.6,7.0
Ryan McMahon,641857,28,COL,2023,7,627,88,0.335,-12.4,0.245,31.6,10.8,4.37,14.2,102.0,11.4,44.2,19.2,3.9,-3.1,43.3,23.2,33.5,7.7,34.7,27.8,47.2,30.1,58.7,69.0,76.2,9.7,23,5,80.7,61.8,6.4
Salvador Perez,521692,33,KCR,2023,4,580,86,0.325,-14.7,0.266,23.3,3.3,3.55,17.0,101.4,8.7,43.6,13.7,1.2,-5.2,36.3,22.9,40.9,2.7,43.6,23.1,60.1,49.5,60.2,77.5,83.9,15.6,23,0,74.5,64.0,9.7
Austin Riley,663586,26,ATL,2023,3,715,127,0.365,24.5,0.273,24.1,8.3,4.0,12.4,103.4,13.9,48.8,19.4,4.1,0.7,41.3,18.5,40.2,9.7,41.1,23.2,48.2,31.0,59.6,71.9,83.1,13.5,37,3,76.9,61.2,7.8
Willy Adames,642715,27,MIL,2023,3,638,94,0.335,-6.0,0.24,25.9,11.1,4.07,14.2,99.1,12.4,36.1,13.6,3.5,-1.0,36.0,19.3,44.7,4.9,46.5,17.8,49.9,35.6,56.5,73.7,83.5,18.2,24,5,78.1,60.6,4.1
Francisco Lindor,596019,29,NYM,2023,6,687,121,0.346,21.9,0.255,19.9,9.6,3.99,9.9,100.8,10.4,43.9,14.4,6.4,3.7,34.1,20.1,45.8,5.0,46.8,19.9,48.1,30.5,66.1,73.0,87.3,19.2,31,31,76.5,60.5,7.2
Joey Meneses,608841,31,WSN,2023,7,657,96,0.288,-8.8,0.247,19.8,5.8,3.87,10.2,99.9,5.4,41.7,8.6,1.6,-5.2,48.6,20.2,31.2,8.9,41.9,28.3,47.6,34.3,64.4,67.1,89.2,9.4,13,0,71.8,62.4,5.0
Adolis García,666969,30,TEX,2023,3,632,124,0.366,19.7,0.25,27.7,10.3,4.05,14.4,102.9,16.1,49.7,21.5,4.5,1.4,36.8,16.3,46.9,10.6,42.5,23.1,48.6,33.0,58.5,74.3,78.9,15.7,39,9,79.0,57.6,8.5
Maikel Garcia,672580,23,KCR,2023,10,515,84,0.319,-8.6,0.274,22.3,7.4,3.86,7.7,101.5,3.9,50.6,4.1,6.3,1.3,48.0,24.6,27.4,7.0,33.1,27.5,42.9,24.4,69.8,65.7,87.7,6.1,4,23,74.3,64.5,9.4
Jonathan India,663697,26,CIN,2023,1,529,99,0.339,2.3,0.252,20.6,9.8,4.17,7.8,99.7,7.7,38.4,12.2,5.0,2.6,38.9,21.6,39.5,8.8,42.9,26.1,38.6,22.2,62.7,59.6,87.8,15.3,17,14,67.9,58.8,7.7
Anthony Volpe,683011,22,NYY,2023,7,601,84,0.305,-7.9,0.23,27.8,8.7,3.89,12.5,99.5,9.0,42.7,15.2,6.2,3.4,41.1,21.8,37.1,5.9,45.6,22.0,47.6,32.0,57.7,68.5,83.9,14.2,21,24,75.4,62.6,7.7
Kyle Schwarber,656941,30,PHI,2023,8,720,119,0.364,12.7,0.22,29.9,17.5,4.26,11.2,103.4,16.4,48.5,25.5,2.2,-4.5,34.4,16.1,49.5,0.8,53.9,14.8,37.6,24.1,54.2,57.3,80.2,19.0,47,0,64.5,57.1,6.7
Ty France,664034,28,SEA,2023,7,665,104,0.342,-1.5,0.27,17.6,6.5,3.65,10.7,99.3,6.8,38.4,7.3,2.5,-4.3,41.8,23.4,34.8,2.0,42.9,20.4,53.2,37.9,63.8,74.7,91.5,13.7,12,1,80.9,60.6,5.1
Paul Goldschmidt,502671,35,STL,2023,6,687,122,0.367,19.1,0.271,23.4,12.7,4.14,10.8,102.4,11.9,50.7,15.4,3.6,0.1,41.1,21.6,37.2,7.3,33.1,31.7,43.9,29.1,68.2,63.8,79.8,12.8,25,11,72.4,61.3,8.5
Mookie Betts,605141,30,LAD,2023,1,693,167,0.407,58.0,0.294,15.4,13.9,3.91,5.8,100.9,12.5,48.1,16.7,4.7,0.7,27.8,23.7,48.5,6.7,46.3,18.3,38.1,20.0,64.3,63.0,93.9,20.6,39,14,74.2,59.5,11.2
Brandon Nimmo,607043,30,NYM,2023,6,682,130,0.352,22.1,0.261,21.4,10.9,4.17,8.1,101.5,9.5,47.7,13.6,4.0,-3.4,41.0,19.8,39.2,6.5,34.2,31.9,42.3,24.0,64.8,64.5,88.1,12.2,24,3,73.0,62.5,6.4
Tyler Stephenson,663886,26,CIN,2023,7,517,85,0.314,-12.2,0.243,26.1,9.1,3.97,10.9,100.0,7.6,43.2,13.7,2.7,-2.3,48.6,22.7,28.7,6.8,39.9,27.2,42.6,27.5,56.4,63.3,85.0,8.9,13,0,75.0,63.8,9.4
William Contreras,661388,25,MIL,2023,7,611,124,0.335,16.9,0.255,20.6,10.3,3.96,11.1,103.2,9.4,48.4,14.2,4.0,-1.6,55.0,16.1,28.8,8.7,34.3,26.6,43.2,27.9,61.9,64.1,81.6,4.7,17,6,73.1,60.9,6.2
Yandy Díaz,650490,31,TBR,2023,6,600,164,0.383,41.7,0.305,15.7,10.8,3.93,7.0,104.3,9.5,54.0,17.7,1.8,-4.4,52.0,19.4,28.6,8.0,31.4,27.5,42.6,22.8,68.1,68.5,90.1,5.7,22,0,80.3,59.2,6.5
Jurickson Profar,595777,30,- - -,2023,10,521,76,0.306,-17.8,0.247,17.3,9.6,4.04,8.5,97.2,4.0,31.7,6.5,2.9,-2.5,40.1,22.7,37.2,2.0,44.7,21.7,47.1,27.7,66.4,72.4,89.7,14.8,9,1,82.6,63.0,5.1
Ha-Seong Kim,673490,27,SDP,2023,1,626,112,0.313,13.1,0.245,19.8,12.0,4.36,6.0,96.6,4.3,26.2,10.5,5.1,4.2,40.5,20.6,38.8,10.7,45.1,20.8,38.5,23.0,76.3,57.2,88.2,13.6,17,38,62.4,57.8,5.7
Gunnar Henderson,683002,22,BAL,2023,7,622,123,0.346,23.0,0.261,25.6,9.0,3.87,11.4,102.7,11.4,51.7,19.3,6.9,5.8,45.0,19.1,35.9,4.4,39.9,25.0,46.8,29.0,62.4,69.5,82.7,11.4,28,10,79.8,62.6,7.9
Gleyber Torres,650402,26,NYY,2023,6,672,123,0.362,16.9,0.282,14.6,10.0,3.94,9.0,99.6,7.9,40.3,12.6,4.3,-1.3,39.2,21.1,39.6,6.6,36.6,25.1,46.7,29.5,68.7,71.1,87.8,15.1,25,13,76.5,62.1,7.5
Bryan De La Cruz,650559,26,MIA,2023,7,626,92,0.331,-10.2,0.273,22.7,6.4,3.94,13.4,100.3,8.8,42.4,12.0,2.5,-3.7,41.0,23.3,35.7,6.6,38.2,25.6,50.0,35.8,63.6,72.0,80.5,11.8,19,4,78.4,63.6,7.2
Spencer Steer,668715,25,CIN,2023,6,665,118,0.333,14.2,0.252,20.9,10.2,4.04,9.5,99.2,6.7,37.1,12.0,4.7,-0.5,37.6,19.5,43.0,7.1,43.6,24.2,43.8,27.7,65.9,65.1,85.3,15.3,23,15,73.5,59.4,6.5
Seiya Suzuki,673548,28,CHC,2023,6,583,126,0.357,17.1,0.283,22.3,10.1,4.19,7.9,102.2,10.5,48.0,14.8,4.5,-2.0,43.1,22.4,34.4,11.2,39.8,22.5,40.9,23.5,68.6,62.4,86.5,10.8,20,6,73.2,60.0,8.2
